Model,Model_Key,Fit_Stage,Year,CO2_ppm,Observed_Temperature_Change_From_1951_1980_C,Fitted_Temperature_Change_From_1951_1980_C,Residual_C,Absolute_Residual_C
Linear CO2,linear_co2,full_data,1977,333.84,0.18,0.10492661270319248,0.07507338729680751,0.07507338729680751
Linear CO2,linear_co2,full_data,1978,335.41,0.07,0.1213748322758299,-0.051374832275829896,0.051374832275829896
Linear CO2,linear_co2,full_data,1979,336.84,0.16,0.13635633163179772,0.02364366836820228,0.02364366836820228
Linear CO2,linear_co2,full_data,1980,338.76,0.26,0.15647135174610538,0.10352864825389463,0.10352864825389463
Linear CO2,linear_co2,full_data,1981,340.12,0.32,0.17071949099373995,0.14928050900626005,0.14928050900626005
Linear CO2,linear_co2,full_data,1982,341.48,0.14,0.18496763024137453,-0.04496763024137451,0.04496763024137451
Linear CO2,linear_co2,full_data,1983,343.15,0.31,0.20246350711163075,0.10753649288836925,0.10753649288836925
Linear CO2,linear_co2,full_data,1984,344.87,0.16,0.22048321263069814,-0.06048321263069814,0.06048321263069814
Linear CO2,linear_co2,full_data,1985,346.35,0.12,0.2359885406354767,-0.1159885406354767,0.1159885406354767
Linear CO2,linear_co2,full_data,1986,347.61,0.18,0.2491890225854907,-0.0691890225854907,0.0691890225854907
Linear CO2,linear_co2,full_data,1987,349.31,0.32,0.2669991966450338,0.05300080335496621,0.05300080335496621
Linear CO2,linear_co2,full_data,1988,351.69,0.39,0.29193344032839397,0.09806655967160605,0.09806655967160605
Linear CO2,linear_co2,full_data,1989,353.2,0.27,0.3077530655224585,-0.037753065522458495,0.037753065522458495
Linear CO2,linear_co2,full_data,1990,354.45,0.45,0.32084878174271036,0.12915121825728965,0.12915121825728965
Linear CO2,linear_co2,full_data,1991,355.7,0.4,0.33394449796296266,0.06605550203703736,0.06605550203703736
Linear CO2,linear_co2,full_data,1992,356.54,0.22,0.3427448192629723,-0.12274481926297229,0.12274481926297229
Linear CO2,linear_co2,full_data,1993,357.21,0.23,0.3497641231570272,-0.1197641231570272,0.1197641231570272
Linear CO2,linear_co2,full_data,1994,358.96,0.32,0.36809812586538015,-0.04809812586538015,0.04809812586538015
Linear CO2,linear_co2,full_data,1995,360.97,0.45,0.38915603754754624,0.06084396245245377,0.06084396245245377
Linear CO2,linear_co2,full_data,1996,362.74,0.33,0.40769957171542304,-0.07769957171542302,0.07769957171542302
Linear CO2,linear_co2,full_data,1997,363.88,0.46,0.41964286490829306,0.040357135091706964,0.040357135091706964
Linear CO2,linear_co2,full_data,1998,366.84,0.61,0.4506535209178497,0.15934647908215027,0.15934647908215027
Linear CO2,linear_co2,full_data,1999,368.54,0.38,0.46846369497739326,-0.08846369497739326,0.08846369497739326
Linear CO2,linear_co2,full_data,2000,369.71,0.39,0.48072128535954883,-0.09072128535954882,0.09072128535954882
Linear CO2,linear_co2,full_data,2001,371.32,0.53,0.49758856785123395,0.03241143214876607,0.03241143214876607
Linear CO2,linear_co2,full_data,2002,373.45,0.63,0.5199036682905436,0.11009633170945643,0.11009633170945643
Linear CO2,linear_co2,full_data,2003,375.98,0.62,0.5464093979203342,0.07359060207966583,0.07359060207966583
Linear CO2,linear_co2,full_data,2004,377.7,0.53,0.5644291034394007,-0.03442910343940064,0.03442910343940064
Linear CO2,linear_co2,full_data,2005,379.98,0.67,0.5883156898251412,0.08168431017485889,0.08168431017485889
Linear CO2,linear_co2,full_data,2006,382.09,0.63,0.610421258804926,0.019578741195073968,0.019578741195073968
Linear CO2,linear_co2,full_data,2007,384.02,0.66,0.6306410446489958,0.02935895535100419,0.02935895535100419
Linear CO2,linear_co2,full_data,2008,385.83,0.54,0.6496036417359208,-0.10960364173592074,0.10960364173592074
Linear CO2,linear_co2,full_data,2009,387.64,0.65,0.6685662388228457,-0.018566238822845693,0.018566238822845693
Linear CO2,linear_co2,full_data,2010,390.1,0.72,0.6943386083443026,0.025661391655697363,0.025661391655697363
Linear CO2,linear_co2,full_data,2011,391.85,0.61,0.7126726110526556,-0.10267261105265557,0.10267261105265557
Linear CO2,linear_co2,full_data,2012,394.06,0.65,0.735825837330061,-0.085825837330061,0.085825837330061
Linear CO2,linear_co2,full_data,2013,396.74,0.67,0.7639030529062816,-0.09390305290628154,0.09390305290628154
Linear CO2,linear_co2,full_data,2014,398.81,0.74,0.7855895589670197,-0.04558955896701966,0.04558955896701966
Linear CO2,linear_co2,full_data,2015,401.01,0.89,0.8086380195146634,0.0813619804853366,0.0813619804853366
Linear CO2,linear_co2,full_data,2016,404.41,1.01,0.8442583676337496,0.1657416323662504,0.1657416323662504
Linear CO2,linear_co2,full_data,2017,406.76,0.92,0.8688783141278233,0.05112168587217669,0.05112168587217669
Linear CO2,linear_co2,full_data,2018,408.72,0.84,0.8894123971611791,-0.04941239716117918,0.04941239716117918
Linear CO2,linear_co2,full_data,2019,411.66,0.97,0.920213521711212,0.049786478288788016,0.049786478288788016
Linear CO2,linear_co2,full_data,2020,414.24,1.02,0.9472430799898119,0.07275692001018808,0.07275692001018808
Linear CO2,linear_co2,full_data,2021,416.45,0.84,0.9703963062672183,-0.13039630626721832,0.13039630626721832
Linear CO2,linear_co2,training_data,1959,315.98,0.03,-0.08026438600484154,0.11026438600484154,0.11026438600484154
Linear CO2,linear_co2,training_data,1960,316.91,-0.03,-0.0705849458863157,0.0405849458863157,0.0405849458863157
Linear CO2,linear_co2,training_data,1961,317.64,0.06,-0.06298710579328004,0.12298710579328004,0.12298710579328004
Linear CO2,linear_co2,training_data,1962,318.45,0.03,-0.054556625690048044,0.08455662569004804,0.08455662569004804
Linear CO2,linear_co2,training_data,1963,318.99,0.05,-0.04893630562122642,0.09893630562122642,0.09893630562122642
Linear CO2,linear_co2,training_data,1964,319.62,-0.2,-0.04237926554093496,-0.15762073445906505,0.15762073445906505
Linear CO2,linear_co2,training_data,1965,320.04,-0.11,-0.03800790548740718,-0.07199209451259282,0.07199209451259282
Linear CO2,linear_co2,training_data,1966,321.37,-0.06,-0.02416526531790275,-0.03583473468209725,0.03583473468209725
Linear CO2,linear_co2,training_data,1967,322.18,-0.02,-0.015734785214670755,-0.004265214785329246,0.004265214785329246
Linear CO2,linear_co2,training_data,1968,323.05,-0.08,-0.006679825103792059,-0.07332017489620794,0.07332017489620794
Linear CO2,linear_co2,training_data,1969,324.62,0.05,0.00966073509629961,0.04033926490370039,0.04033926490370039
Linear CO2,linear_co2,training_data,1970,325.68,0.03,0.020693215231393225,0.009306784768606774,0.009306784768606774
Linear CO2,linear_co2,training_data,1971,326.32,-0.08,0.027354335312959055,-0.10735433531295906,0.10735433531295906
Linear CO2,linear_co2,training_data,1972,327.46,0.01,0.03921945545824812,-0.02921945545824812,0.02921945545824812
Linear CO2,linear_co2,training_data,1973,329.68,0.16,0.062325215741180884,0.09767478425881912,0.09767478425881912
Linear CO2,linear_co2,training_data,1974,330.19,-0.07,0.0676332958061785,-0.1376332958061785,0.1376332958061785
Linear CO2,linear_co2,training_data,1975,331.13,-0.01,0.07741681592597871,-0.0874168159259787,0.0874168159259787
Linear CO2,linear_co2,training_data,1976,332.03,-0.1,0.08678401604068053,-0.18678401604068054,0.18678401604068054
Linear CO2,linear_co2,training_data,1977,333.84,0.18,0.10562249627135945,0.07437750372864055,0.07437750372864055
Linear CO2,linear_co2,training_data,1978,335.41,0.07,0.12196305647145156,-0.05196305647145155,0.05196305647145155
Linear CO2,linear_co2,training_data,1979,336.84,0.16,0.13684649665369975,0.023153503346300258,0.023153503346300258
Linear CO2,linear_co2,training_data,1980,338.76,0.26,0.15682985689839812,0.10317014310160189,0.10317014310160189
Linear CO2,linear_co2,training_data,1981,340.12,0.32,0.17098473707172612,0.14901526292827388,0.14901526292827388
Linear CO2,linear_co2,training_data,1982,341.48,0.14,0.18513961724505368,-0.045139617245053665,0.045139617245053665
Linear CO2,linear_co2,training_data,1983,343.15,0.31,0.20252097745788955,0.10747902254211045,0.10747902254211045
Linear CO2,linear_co2,training_data,1984,344.87,0.16,0.22042273767709863,-0.06042273767709863,0.06042273767709863
Linear CO2,linear_co2,training_data,1985,346.35,0.12,0.23582657786572003,-0.11582657786572004,0.11582657786572004
Linear CO2,linear_co2,training_data,1986,347.61,0.18,0.24894065802630339,-0.06894065802630339,0.06894065802630339
Linear CO2,linear_co2,training_data,1987,349.31,0.32,0.26663425824296283,0.05336574175703718,0.05336574175703718
Linear CO2,linear_co2,training_data,1988,351.69,0.39,0.29140529854628605,0.09859470145371396,0.09859470145371396
Linear CO2,linear_co2,training_data,1989,353.2,0.27,0.307121378738731,-0.037121378738731,0.037121378738731
Linear CO2,linear_co2,training_data,1990,354.45,0.45,0.32013137889803955,0.12986862110196046,0.12986862110196046
Linear CO2,linear_co2,training_data,1991,355.7,0.4,0.3331413790573481,0.06685862094265194,0.06685862094265194
Linear CO2,linear_co2,training_data,1992,356.54,0.22,0.34188409916440365,-0.12188409916440365,0.12188409916440365
Linear CO2,linear_co2,training_data,1993,357.21,0.23,0.3488574592497926,-0.1188574592497926,0.1188574592497926
Linear CO2,linear_co2,training_data,1994,358.96,0.32,0.3670714594728248,-0.04707145947282482,0.04707145947282482
Linear CO2,linear_co2,training_data,1995,360.97,0.45,0.3879915397289935,0.06200846027100654,0.06200846027100654
Linear CO2,linear_co2,training_data,1996,362.74,0.33,0.40641369995457444,-0.07641369995457442,0.07641369995457442
Linear CO2,linear_co2,training_data,1997,363.88,0.46,0.4182788200998635,0.04172117990013652,0.04172117990013652
