Model,Model_Key,Fit_Stage,Year,Forecast_Temperature_Change_From_1951_1980_C,Reference_Year,Reference_Temperature_Change_From_1951_1980_C,Forecast_Additional_Change_From_Last_Observed_Year_C
Quadratic time trend,quadratic_time,full_data,2110,4.801701694139195,2021,0.84,3.9617016941391947
Quadratic time trend,quadratic_time,full_data,2111,4.860345467032967,2021,0.84,4.020345467032967
Quadratic time trend,quadratic_time,full_data,2112,4.91933784965035,2021,0.84,4.07933784965035
Quadratic time trend,quadratic_time,full_data,2113,4.978678841991342,2021,0.84,4.138678841991342
Quadratic time trend,quadratic_time,full_data,2114,5.038368444055945,2021,0.84,4.198368444055945
Quadratic time trend,quadratic_time,full_data,2115,5.098406655844156,2021,0.84,4.258406655844156
Quadratic time trend,quadratic_time,full_data,2116,5.158793477355977,2021,0.84,4.318793477355977
Quadratic time trend,quadratic_time,full_data,2117,5.219528908591409,2021,0.84,4.379528908591409
Quadratic time trend,quadratic_time,full_data,2118,5.2806129495504495,2021,0.84,4.44061294955045
Quadratic time trend,quadratic_time,full_data,2119,5.3420456002331,2021,0.84,4.5020456002331
Quadratic time trend,quadratic_time,full_data,2120,5.403826860639361,2021,0.84,4.563826860639361
Quadratic time trend,quadratic_time,full_data,2121,5.465956730769231,2021,0.84,4.625956730769231
Quadratic time trend,quadratic_time,full_data,2122,5.52843521062271,2021,0.84,4.6884352106227105
Quadratic time trend,quadratic_time,full_data,2123,5.5912623001998005,2021,0.84,4.751262300199801
Quadratic time trend,quadratic_time,full_data,2124,5.6544379995005,2021,0.84,4.8144379995005
Quadratic time trend,quadratic_time,full_data,2125,5.717962308524809,2021,0.84,4.877962308524809
Quadratic time trend,quadratic_time,full_data,2126,5.781835227272727,2021,0.84,4.941835227272727
Quadratic time trend,quadratic_time,full_data,2127,5.846056755744256,2021,0.84,5.006056755744257
Quadratic time trend,quadratic_time,full_data,2128,5.910626893939394,2021,0.84,5.070626893939394
Quadratic time trend,quadratic_time,full_data,2129,5.975545641858141,2021,0.84,5.135545641858141
Quadratic time trend,quadratic_time,full_data,2130,6.0408129995005,2021,0.84,5.2008129995005
Quadratic time trend,quadratic_time,full_data,2131,6.106428966866467,2021,0.84,5.266428966866467
Quadratic time trend,quadratic_time,full_data,2132,6.172393543956045,2021,0.84,5.332393543956045
Quadratic time trend,quadratic_time,full_data,2133,6.2387067307692305,2021,0.84,5.398706730769231
Quadratic time trend,quadratic_time,full_data,2134,6.305368527306028,2021,0.84,5.465368527306028
Quadratic time trend,quadratic_time,full_data,2135,6.372378933566434,2021,0.84,5.532378933566434
Quadratic time trend,quadratic_time,full_data,2136,6.439737949550451,2021,0.84,5.599737949550451
Quadratic time trend,quadratic_time,full_data,2137,6.5074455752580755,2021,0.84,5.667445575258076
Quadratic time trend,quadratic_time,full_data,2138,6.575501810689311,2021,0.84,5.735501810689311
Quadratic time trend,quadratic_time,full_data,2139,6.643906655844156,2021,0.84,5.803906655844156
Quadratic time trend,quadratic_time,full_data,2140,6.71266011072261,2021,0.84,5.87266011072261
Quadratic time trend,quadratic_time,full_data,2141,6.781762175324675,2021,0.84,5.941762175324675
Quadratic time trend,quadratic_time,full_data,2142,6.85121284965035,2021,0.84,6.0112128496503505
Quadratic time trend,quadratic_time,full_data,2143,6.921012133699633,2021,0.84,6.081012133699633
Quadratic time trend,quadratic_time,full_data,2144,6.991160027472527,2021,0.84,6.151160027472527
Quadratic time trend,quadratic_time,full_data,2145,7.061656530969032,2021,0.84,6.221656530969032
Quadratic time trend,quadratic_time,full_data,2146,7.132501644189145,2021,0.84,6.292501644189145
Quadratic time trend,quadratic_time,full_data,2147,7.203695367132867,2021,0.84,6.363695367132867
Quadratic time trend,quadratic_time,full_data,2148,7.2752376998002,2021,0.84,6.4352376998002
Quadratic time trend,quadratic_time,full_data,2149,7.347128642191143,2021,0.84,6.507128642191143
Quadratic time trend,quadratic_time,full_data,2150,7.419368194305695,2021,0.84,6.579368194305695
Quadratic time trend,quadratic_time,full_data,2151,7.491956356143856,2021,0.84,6.651956356143856
Quadratic time trend,quadratic_time,full_data,2152,7.564893127705628,2021,0.84,6.724893127705628
Quadratic time trend,quadratic_time,full_data,2153,7.638178508991009,2021,0.84,6.798178508991009
Quadratic time trend,quadratic_time,full_data,2154,7.7118125,2021,0.84,6.8718125
Quadratic time trend,quadratic_time,full_data,2155,7.7857951007326,2021,0.84,6.9457951007326
Quadratic time trend,quadratic_time,full_data,2156,7.860126311188812,2021,0.84,7.020126311188812
Quadratic time trend,quadratic_time,full_data,2157,7.934806131368632,2021,0.84,7.094806131368633
Quadratic time trend,quadratic_time,full_data,2158,8.009834561272061,2021,0.84,7.1698345612720615
