Model,Model_Source,Year,Forecast_CO2_ppm
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2030,440.075085201366
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2031,442.8612205844225
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2032,445.6760897528329
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2033,448.5196925742304
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2034,451.39202907194175
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2035,454.29309924206973
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2036,457.2229030852239
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2037,460.18144060131766
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2038,463.1687117903612
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2039,466.18471665235364
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2040,469.2294551872952
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2041,472.3029273951857
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2042,475.4051332760253
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2043,478.5360728298142
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2044,481.6957460565521
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2045,484.8841529562391
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2046,488.10129352887515
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2047,491.34716777446016
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2048,494.62177569299433
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2049,497.92511728447744
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2050,501.2571925489096
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2051,504.6180014862908
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2052,508.00754409662096
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2053,511.42582037990024
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2054,514.8728303361288
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2055,518.3485739653062
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2056,521.8530512674324
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2057,525.3862622425078
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2058,528.9482068905323
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2059,532.5388852115059
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2060,536.1582972054285
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2061,539.8064428723001
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2062,543.4833222121207
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2063,547.1889352248904
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2064,550.9232819106093
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2065,554.6863622692769
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2066,558.4781763008933
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2067,562.2987240054591
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2068,566.148005382974
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2069,570.0260204334379
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2070,573.9327691568507
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2071,577.8682515532126
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2072,581.8324676225236
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2073,585.8254173647838
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2074,589.847100779993
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2075,593.8975178681511
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2076,597.9766686292581
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2077,602.0845530633145
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2078,606.2211711703197
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2079,610.3865229502738
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2080,614.5806084031769
