Sigma,Simulation,Model,Model_Key,Model_Family,RMSE,MAE,MAPE,R2,Perturbation_Std_ppm,Test_Comparison_Target,Status,Rank_By_RMSE,Is_Best_By_RMSE
0.5,63,Cubic,cubic,annual_fit,1.9373265019638177,1.6521200602580906,0.4034501649276665,0.9277458953407774,0.5,original_true_test_data,,3.0,False
0.5,63,Quartic,quartic,annual_fit,3.668647756722815,3.230925942713617,0.7902554827525478,0.7408991037717692,0.5,original_true_test_data,,4.0,False
0.5,63,Exponential,exponential,annual_fit,8.502657421692872,8.159418805282916,2.0034172768796954,-0.3917660796013267,0.5,original_true_test_data,,5.0,False
0.5,63,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,0.5081575944329088,0.4663946910176776,0.11552199780102107,0.9950288859642986,0.5,original_true_test_data,ok,1.0,True
0.5,66,Quadratic,quadratic,annual_fit,2.0663932214789824,1.8441479423936755,0.4512130775365613,0.917797917159831,0.5,original_true_test_data,,2.0,False
0.5,66,Cubic,cubic,annual_fit,2.957667524690157,2.680926476798038,0.6563027628088273,0.8315947639733423,0.5,original_true_test_data,,4.0,False
0.5,66,Quartic,quartic,annual_fit,2.865239146094853,2.379674382423974,0.5808078076491052,0.8419557729199034,0.5,original_true_test_data,,3.0,False
0.5,66,Exponential,exponential,annual_fit,8.734828611194054,8.396647330802404,2.0619008956142255,-0.46881013565318197,0.5,original_true_test_data,,5.0,False
0.5,66,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,1.8869049150808408,1.6845618464359802,0.41221395084696694,0.9314579773269813,0.5,original_true_test_data,ok,1.0,True
0.5,54,Quadratic,quadratic,annual_fit,1.752638971894655,1.532985972077114,0.3747959443937743,0.9408653795353719,0.5,original_true_test_data,,2.0,False
0.5,54,Cubic,cubic,annual_fit,4.021335716188226,3.6617824793163494,0.8965519260875107,0.6886867917586892,0.5,original_true_test_data,,4.0,False
0.5,54,Quartic,quartic,annual_fit,2.404080626784491,1.910342767104197,0.46560550027828124,0.8887359300000033,0.5,original_true_test_data,,3.0,False
0.5,54,Exponential,exponential,annual_fit,8.95668772208772,8.617082129308107,2.1161491507793664,-0.5443713990417405,0.5,original_true_test_data,,5.0,False
0.5,54,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,1.242122480331875,1.0557254622333005,0.257929333908224,0.970297997622524,0.5,original_true_test_data,ok,1.0,True
0.5,72,Quadratic,quadratic,annual_fit,1.4379256217748329,1.2044899373890132,0.294016165950894,0.9601957239603134,0.5,original_true_test_data,,3.0,False
0.5,72,Cubic,cubic,annual_fit,3.4555197201600243,3.091133259125263,0.7562283403109626,0.7701292904689819,0.5,original_true_test_data,,4.0,False
0.5,72,Quartic,quartic,annual_fit,1.4218825819771888,1.1249734354783243,0.2744378400829592,0.9610789674669633,0.5,original_true_test_data,,2.0,False
0.5,72,Exponential,exponential,annual_fit,8.489260303330092,8.148109222828367,2.0006658316306627,-0.38738369311496323,0.5,original_true_test_data,,5.0,False
0.5,72,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,1.1703220607413538,0.9722446489174729,0.2373533473976147,0.9736325781156617,0.5,original_true_test_data,ok,1.0,True
0.5,71,Quadratic,quadratic,annual_fit,1.9748047915990976,1.734602351976156,0.4241216358631463,0.9249232905813327,0.5,original_true_test_data,,2.0,False
0.5,71,Cubic,cubic,annual_fit,3.6697545076800804,3.325534047303728,0.814049994764777,0.7407427500204204,0.5,original_true_test_data,,4.0,False
0.5,71,Quartic,quartic,annual_fit,2.4078162297590526,1.9503068453950163,0.47567798773713094,0.8883898839414781,0.5,original_true_test_data,,3.0,False
0.5,71,Exponential,exponential,annual_fit,8.594857919422914,8.249824067057848,2.025645464709343,-0.4221135958359812,0.5,original_true_test_data,,5.0,False
0.5,71,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,1.5888737969195443,1.3610533026141922,0.3325048874457329,0.9514000647582519,0.5,original_true_test_data,ok,1.0,True
0.5,55,Quadratic,quadratic,annual_fit,1.6137455599792774,1.372930237218179,0.33529797388552024,0.9498666177208608,0.5,original_true_test_data,,1.0,True
0.5,55,Cubic,cubic,annual_fit,2.676125050842495,2.378232062767188,0.5816917645104703,0.8621300266461696,0.5,original_true_test_data,,3.0,False
0.5,55,Quartic,quartic,annual_fit,2.7133698206901444,2.312075876468384,0.5648972852378874,0.8582657319157486,0.5,original_true_test_data,,4.0,False
0.5,55,Exponential,exponential,annual_fit,8.735635574719268,8.391987816859757,2.060666534805824,-0.469081539022,0.5,original_true_test_data,,5.0,False
0.5,55,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,1.7671810512050936,1.5315323205757636,0.37429415021627394,0.9398799992904343,0.5,original_true_test_data,ok,2.0,False
0.5,59,Quadratic,quadratic,annual_fit,1.7634625600722684,1.5199281674421967,0.37136547366588685,0.9401327413478044,0.5,original_true_test_data,,1.0,True
0.5,59,Cubic,cubic,annual_fit,3.2425100317641222,2.9131277295324707,0.7128308052472507,0.7975957899930517,0.5,original_true_test_data,,4.0,False
0.5,59,Quartic,quartic,annual_fit,2.328565227915657,1.9273947018097601,0.4704795630145932,0.8956160563319355,0.5,original_true_test_data,,3.0,False
0.5,59,Exponential,exponential,annual_fit,8.59266519333692,8.248425430600753,2.0253136417040567,-0.4213880671917778,0.5,original_true_test_data,,5.0,False
0.5,59,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,1.782155793786728,1.5816469582961588,0.3869395316047457,0.9388567923724828,0.5,original_true_test_data,ok,2.0,False
0.5,64,Quadratic,quadratic,annual_fit,1.1323562438663541,0.9257758579844506,0.2258967054470313,0.9753155734134269,0.5,original_true_test_data,,2.0,False
0.5,64,Cubic,cubic,annual_fit,1.6989576204983252,1.4294891470960978,0.34892928254570243,0.9444323569277081,0.5,original_true_test_data,,3.0,False
0.5,64,Quartic,quartic,annual_fit,3.1260405185978946,2.7658883660873697,0.6767073386203711,0.8118751829550124,0.5,original_true_test_data,,4.0,False
0.5,64,Exponential,exponential,annual_fit,8.729454112776546,8.391467928399948,2.06062886590913,-0.4670031879740806,0.5,original_true_test_data,,5.0,False
0.5,64,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,1.0120688986174364,0.8169741291229741,0.19933269398563042,0.9802813561619859,0.5,original_true_test_data,ok,1.0,True
0.5,70,Quadratic,quadratic,annual_fit,1.7602000751489302,1.514608542046642,0.3700404474061771,0.9403540506757831,0.5,original_true_test_data,,2.0,False
0.5,70,Cubic,cubic,annual_fit,2.4032104901547644,2.1231862561359094,0.5191994025114577,0.8888164576005559,0.5,original_true_test_data,,3.0,False
0.5,70,Quartic,quartic,annual_fit,3.780667293349234,3.2703262610783894,0.7992944942723237,0.7248346116937119,0.5,original_true_test_data,,4.0,False
0.5,70,Exponential,exponential,annual_fit,8.548067985877669,8.203842231338006,2.0143381239867524,-0.4066719260420266,0.5,original_true_test_data,,5.0,False
0.5,70,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,0.8007418649633975,0.6769021876985335,0.16549293496465656,0.9876563967192432,0.5,original_true_test_data,ok,1.0,True
0.5,67,Quadratic,quadratic,annual_fit,1.494209532406884,1.259034824560524,0.30738654384309066,0.9570186660252771,0.5,original_true_test_data,,1.0,True
0.5,67,Cubic,cubic,annual_fit,2.630889447678797,2.3287890526939634,0.5695016881894723,0.8667515754588909,0.5,original_true_test_data,,3.0,False
0.5,67,Quartic,quartic,annual_fit,2.7673249718045736,2.3708870409699783,0.5793774933419334,0.8525729386075687,0.5,original_true_test_data,,4.0,False
0.5,67,Exponential,exponential,annual_fit,8.640489731926477,8.30010807261092,2.038098365104014,-0.4372542504350734,0.5,original_true_test_data,,5.0,False
0.5,67,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,1.803256698356494,1.5823169470116625,0.3869108891389467,0.9374003373232856,0.5,original_true_test_data,ok,2.0,False
0.5,79,Quadratic,quadratic,annual_fit,2.3162514889326458,2.0824786706660974,0.5096623677091047,0.8967171275487342,0.5,original_true_test_data,,2.0,False
0.5,79,Cubic,cubic,annual_fit,4.271291967935116,3.9113021556161582,0.9578966585348394,0.648783101976489,0.5,original_true_test_data,,4.0,False
0.5,79,Quartic,quartic,annual_fit,1.2392278523659237,0.8664155068164803,0.2105080175782117,0.9704362707301399,0.5,original_true_test_data,,1.0,True
0.5,79,Exponential,exponential,annual_fit,8.634047962355103,8.29002779475888,2.0355590767102396,-0.4351120085621514,0.5,original_true_test_data,,5.0,False
0.5,79,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,3.3499631057976886,3.1327811189228667,0.7681157804950843,0.7839586249042217,0.5,original_true_test_data,ok,3.0,False
0.5,78,Quadratic,quadratic,annual_fit,1.655767480883253,1.4126533589490975,0.3450295769087752,0.9472216775069211,0.5,original_true_test_data,,2.0,False
0.5,78,Cubic,cubic,annual_fit,2.5127201055367503,2.2241502443412684,0.5439228730220325,0.8784527564470281,0.5,original_true_test_data,,3.0,False
0.5,78,Quartic,quartic,annual_fit,2.6725147667039293,2.286897556794031,0.5588443820670081,0.8625017686376718,0.5,original_true_test_data,,4.0,False
0.5,78,Exponential,exponential,annual_fit,8.636069022537919,8.292827318707163,2.0362605893932493,-0.4357839499782312,0.5,original_true_test_data,,5.0,False
0.5,78,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,1.5339372062219672,1.3016415024903325,0.3178744349811081,0.9547027279771927,0.5,original_true_test_data,ok,1.0,True
0.5,61,Quadratic,quadratic,annual_fit,1.6270882404326337,1.3915894014848675,0.33992620796046935,0.9490341704580382,0.5,original_true_test_data,,2.0,False
0.5,61,Cubic,cubic,annual_fit,3.2509553004800056,2.9224917260046426,0.7151417076527904,0.796540074527416,0.5,original_true_test_data,,4.0,False
0.5,61,Quartic,quartic,annual_fit,2.809127293097178,2.3525924569269647,0.5744012901649402,0.8480853268969366,0.5,original_true_test_data,,3.0,False
0.5,61,Exponential,exponential,annual_fit,8.713531811651553,8.37296967719036,2.0560335109287515,-0.46165651590256584,0.5,original_true_test_data,,5.0,False
0.5,61,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,0.7990850046457605,0.6578896407523871,0.16065716505006597,0.9877074255677087,0.5,original_true_test_data,ok,1.0,True
0.5,81,Quadratic,quadratic,annual_fit,1.5132982815456102,1.2833287421501383,0.3133981976914635,0.9559134654056112,0.5,original_true_test_data,,1.0,True
0.5,81,Cubic,cubic,annual_fit,2.671815650426807,2.380013080508877,0.5821893252711393,0.8625736969050986,0.5,original_true_test_data,,4.0,False
0.5,81,Quartic,quartic,annual_fit,2.2132682056932556,1.8620972279624595,0.4548336784488661,0.9056971158465331,0.5,original_true_test_data,,3.0,False
0.5,81,Exponential,exponential,annual_fit,8.860537051626507,8.521467145031659,2.092617152772665,-0.5113915046491573,0.5,original_true_test_data,,5.0,False
0.5,81,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,1.7043366694256497,1.4973800792525878,0.366172428980322,0.9440799358422602,0.5,original_true_test_data,ok,2.0,False
0.5,75,Quadratic,quadratic,annual_fit,1.1968189811745038,0.9894684397646586,0.2414930596473092,0.972425107914306,0.5,original_true_test_data,,1.0,True
