Model,Model_Key,Fit_Stage,Year,Forecast_Temperature_Change_From_1951_1980_C,Reference_Year,Reference_Temperature_Change_From_1951_1980_C,Forecast_Additional_Change_From_Last_Observed_Year_C
Shifted exponential time trend,shifted_exp_time,full_data,2108,15.523049945358473,2021,0.84,14.683049945358473
Shifted exponential time trend,shifted_exp_time,full_data,2109,15.97592624037345,2021,0.84,15.13592624037345
Shifted exponential time trend,shifted_exp_time,full_data,2110,16.441764444710238,2021,0.84,15.601764444710238
Shifted exponential time trend,shifted_exp_time,full_data,2111,16.920935545093297,2021,0.84,16.080935545093297
Shifted exponential time trend,shifted_exp_time,full_data,2112,17.413821146370253,2021,0.84,16.573821146370253
Shifted exponential time trend,shifted_exp_time,full_data,2113,17.920813775416402,2021,0.84,17.080813775416402
Shifted exponential time trend,shifted_exp_time,full_data,2114,18.442317193737384,2021,0.84,17.602317193737385
Shifted exponential time trend,shifted_exp_time,full_data,2115,18.97874671901894,2021,0.84,18.13874671901894
Shifted exponential time trend,shifted_exp_time,full_data,2116,19.530529555879806,2021,0.84,18.690529555879806
Shifted exponential time trend,shifted_exp_time,full_data,2117,20.098105136091252,2021,0.84,19.258105136091253
Shifted exponential time trend,shifted_exp_time,full_data,2118,20.68192546853408,2021,0.84,19.84192546853408
Shifted exponential time trend,shifted_exp_time,full_data,2119,21.28245549917189,2021,0.84,20.44245549917189
Shifted exponential time trend,shifted_exp_time,full_data,2120,21.900173481327265,2021,0.84,21.060173481327265
Shifted exponential time trend,shifted_exp_time,full_data,2121,22.535571356555614,2021,0.84,21.695571356555615
Shifted exponential time trend,shifted_exp_time,full_data,2122,23.18915514642037,2021,0.84,22.34915514642037
Shifted exponential time trend,shifted_exp_time,full_data,2123,23.861445355481035,2021,0.84,23.021445355481035
Shifted exponential time trend,shifted_exp_time,full_data,2124,24.552977385815456,2021,0.84,23.712977385815456
Shifted exponential time trend,shifted_exp_time,full_data,2125,25.264301963406155,2021,0.84,24.424301963406155
Shifted exponential time trend,shifted_exp_time,full_data,2126,25.995985576730472,2021,0.84,25.155985576730473
Shifted exponential time trend,shifted_exp_time,full_data,2127,26.748610927903677,2021,0.84,25.908610927903677
Shifted exponential time trend,shifted_exp_time,full_data,2128,27.522777396734387,2021,0.84,26.682777396734387
Shifted exponential time trend,shifted_exp_time,full_data,2129,28.319101518061906,2021,0.84,27.479101518061906
Shifted exponential time trend,shifted_exp_time,full_data,2130,29.138217472755514,2021,0.84,28.298217472755514
Shifted exponential time trend,shifted_exp_time,full_data,2131,29.98077759276685,2021,0.84,29.14077759276685
Shifted exponential time trend,shifted_exp_time,full_data,2132,30.847452880637434,2021,0.84,30.007452880637434
Shifted exponential time trend,shifted_exp_time,full_data,2133,31.738933543875437,2021,0.84,30.898933543875437
Shifted exponential time trend,shifted_exp_time,full_data,2134,32.65592954462668,2021,0.84,31.81592954462668
Shifted exponential time trend,shifted_exp_time,full_data,2135,33.59917116507815,2021,0.84,32.75917116507814
Shifted exponential time trend,shifted_exp_time,full_data,2136,34.56940958904407,2021,0.84,33.72940958904407
Shifted exponential time trend,shifted_exp_time,full_data,2137,35.567417500197614,2021,0.84,34.72741750019761
Shifted exponential time trend,shifted_exp_time,full_data,2138,36.593989697424924,2021,0.84,35.75398969742492
Shifted exponential time trend,shifted_exp_time,full_data,2139,37.64994372779131,2021,0.84,36.80994372779131
Shifted exponential time trend,shifted_exp_time,full_data,2140,38.73612053762372,2021,0.84,37.896120537623716
Shifted exponential time trend,shifted_exp_time,full_data,2141,39.85338514222811,2021,0.84,39.01338514222811
Shifted exponential time trend,shifted_exp_time,full_data,2142,41.00262731477499,2021,0.84,40.16262731477499
Shifted exponential time trend,shifted_exp_time,full_data,2143,42.18476229490162,2021,0.84,41.344762294901614
Shifted exponential time trend,shifted_exp_time,full_data,2144,43.400731517595645,2021,0.84,42.56073151759564
Shifted exponential time trend,shifted_exp_time,full_data,2145,44.65150336294002,2021,0.84,43.811503362940016
Shifted exponential time trend,shifted_exp_time,full_data,2146,45.93807392731673,2021,0.84,45.098073927316726
Shifted exponential time trend,shifted_exp_time,full_data,2147,47.2614678166834,2021,0.84,46.421467816683396
Shifted exponential time trend,shifted_exp_time,full_data,2148,48.62273896255444,2021,0.84,47.78273896255444
Shifted exponential time trend,shifted_exp_time,full_data,2149,50.022971461336695,2021,0.84,49.18297146133669
Shifted exponential time trend,shifted_exp_time,full_data,2150,51.463280437687935,2021,0.84,50.62328043768793
Shifted exponential time trend,shifted_exp_time,full_data,2151,52.9448129325858,2021,0.84,52.104812932585794
Shifted exponential time trend,shifted_exp_time,full_data,2152,54.468748816814454,2021,0.84,53.62874881681445
Shifted exponential time trend,shifted_exp_time,full_data,2153,56.03630173059645,2021,0.84,55.196301730596446
Shifted exponential time trend,shifted_exp_time,full_data,2154,57.6487200501178,2021,0.84,56.8087200501178
Shifted exponential time trend,shifted_exp_time,full_data,2155,59.307287881716846,2021,0.84,58.46728788171684
Shifted exponential time trend,shifted_exp_time,full_data,2156,61.01332608452745,2021,0.84,60.173326084527446
Shifted exponential time trend,shifted_exp_time,full_data,2157,62.76819332239206,2021,0.84,61.928193322392055
Shifted exponential time trend,shifted_exp_time,full_data,2158,64.57328714588155,2021,0.84,63.73328714588155
Shifted exponential time trend,shifted_exp_time,full_data,2159,66.4300451052841,2021,0.84,65.59004510528409
Shifted exponential time trend,shifted_exp_time,full_data,2160,68.3399458954492,2021,0.84,67.4999458954492
Shifted exponential time trend,shifted_exp_time,full_data,2161,70.3045105333986,2021,0.84,69.4645105333986
Shifted exponential time trend,shifted_exp_time,full_data,2162,72.3253035696419,2021,0.84,71.4853035696419
Shifted exponential time trend,shifted_exp_time,full_data,2163,74.40393433416175,2021,0.84,73.56393433416174
Shifted exponential time trend,shifted_exp_time,full_data,2164,76.5420582180607,2021,0.84,75.7020582180607
Shifted exponential time trend,shifted_exp_time,full_data,2165,78.74137799189023,2021,0.84,77.90137799189023
Shifted exponential time trend,shifted_exp_time,full_data,2166,81.00364516171261,2021,0.84,80.16364516171261
Shifted exponential time trend,shifted_exp_time,full_data,2167,83.33066136397444,2021,0.84,82.49066136397444
Shifted exponential time trend,shifted_exp_time,full_data,2168,85.72427980030362,2021,0.84,84.88427980030362
Shifted exponential time trend,shifted_exp_time,full_data,2169,88.18640671337197,2021,0.84,87.34640671337196
Shifted exponential time trend,shifted_exp_time,full_data,2170,90.71900290499899,2021,0.84,89.87900290499898
Shifted exponential time trend,shifted_exp_time,full_data,2171,93.32408529770566,2021,0.84,92.48408529770566
Shifted exponential time trend,shifted_exp_time,full_data,2172,96.00372854096214,2021,0.84,95.16372854096214
Shifted exponential time trend,shifted_exp_time,full_data,2173,98.76006666340805,2021,0.84,97.92006666340805
Shifted exponential time trend,shifted_exp_time,full_data,2174,101.5952947723618,2021,0.84,100.7552947723618
Shifted exponential time trend,shifted_exp_time,full_data,2175,104.51167080197175,2021,0.84,103.67167080197174
Shifted exponential time trend,shifted_exp_time,full_data,2176,107.51151731140212,2021,0.84,106.67151731140211
Shifted exponential time trend,shifted_exp_time,full_data,2177,110.59722333448468,2021,0.84,109.75722333448468
Shifted exponential time trend,shifted_exp_time,full_data,2178,113.77124628231088,2021,0.84,112.93124628231088
Shifted exponential time trend,shifted_exp_time,full_data,2179,117.03611390027767,2021,0.84,116.19611390027767
