Model,Model_Key,Fit_Stage,Year,Observed_CO2,Fitted_CO2,Residual,Absolute_Residual
Quadratic,quadratic,full_data,2020,414.24,413.18241492378627,1.0575850762137406,1.0575850762137406
Quadratic,quadratic,full_data,2021,416.45,415.5917467948722,0.8582532051277667,0.8582532051277667
Quadratic,quadratic,training_data,1959,315.98,315.136091099676,0.8439089003240383,0.8439089003240383
Quadratic,quadratic,training_data,1960,316.91,316.00847971734765,0.9015202826523705,0.9015202826523705
Quadratic,quadratic,training_data,1961,317.64,316.90456446993625,0.7354355300637394,0.7354355300637394
Quadratic,quadratic,training_data,1962,318.45,317.8243453574419,0.6256546425580609,0.6256546425580609
Quadratic,quadratic,training_data,1963,318.99,318.7678223798646,0.22217762013542597,0.22217762013542597
Quadratic,quadratic,training_data,1964,319.62,319.7349955372042,-0.11499553720420863,0.11499553720420863
Quadratic,quadratic,training_data,1965,320.04,320.7258648294609,-0.6858648294608543,0.6858648294608543
Quadratic,quadratic,training_data,1966,321.37,321.7404302566345,-0.37043025663450635,0.37043025663450635
Quadratic,quadratic,training_data,1967,322.18,322.7786918187252,-0.5986918187251717,0.5986918187251717
Quadratic,quadratic,training_data,1968,323.05,323.8406495157328,-0.7906495157328095,0.7906495157328095
Quadratic,quadratic,training_data,1969,324.62,324.9263033476575,-0.3063033476574901,0.3063033476574901
Quadratic,quadratic,training_data,1970,325.68,326.03565331449914,-0.3556533144991363,0.3556533144991363
Quadratic,quadratic,training_data,1971,326.32,327.16869941625777,-0.848699416257773,0.848699416257773
Quadratic,quadratic,training_data,1972,327.46,328.3254416529334,-0.8654416529334412,0.8654416529334412
Quadratic,quadratic,training_data,1973,329.68,329.5058800245261,0.1741199754739,0.1741199754739
Quadratic,quadratic,training_data,1974,330.19,330.7100145310357,-0.5200145310357129,0.5200145310357129
Quadratic,quadratic,training_data,1975,331.13,331.9378451724624,-0.8078451724624074,0.8078451724624074
Quadratic,quadratic,training_data,1976,332.03,333.18937194880607,-1.159371948806097,1.159371948806097
Quadratic,quadratic,training_data,1977,333.84,334.4645948600667,-0.6245948600667361,0.6245948600667361
Quadratic,quadratic,training_data,1978,335.41,335.7635139062444,-0.3535139062443591,0.3535139062443591
Quadratic,quadratic,training_data,1979,336.84,337.08612908733903,-0.2461290873390567,0.2461290873390567
Quadratic,quadratic,training_data,1980,338.76,338.43244040335065,0.327559596649337,0.327559596649337
Quadratic,quadratic,training_data,1981,340.12,339.8024478542793,0.3175521457206969,0.3175521457206969
Quadratic,quadratic,training_data,1982,341.48,341.196151440125,0.28384855987502533,0.28384855987502533
Quadratic,quadratic,training_data,1983,343.15,342.61355116088765,0.5364488391123245,0.5364488391123245
Quadratic,quadratic,training_data,1984,344.87,344.0546470165673,0.8153529834327173,0.8153529834327173
Quadratic,quadratic,training_data,1985,346.35,345.51943900716395,0.8305609928360695,0.8305609928360695
Quadratic,quadratic,training_data,1986,347.61,347.0079271326776,0.6020728673224198,0.6020728673224198
Quadratic,quadratic,training_data,1987,349.31,348.52011139310827,0.7898886068917363,0.7898886068917363
Quadratic,quadratic,training_data,1988,351.69,350.0559917884559,1.634008211544085,1.634008211544085
Quadratic,quadratic,training_data,1989,353.2,351.6155683187206,1.5844316812793977,1.5844316812793977
Quadratic,quadratic,training_data,1990,354.45,353.19884098390224,1.2511590160977448,1.2511590160977448
Quadratic,quadratic,training_data,1991,355.7,354.8058097840009,0.8941902159990605,0.8941902159990605
Quadratic,quadratic,training_data,1992,356.54,356.4364747190166,0.10352528098343328,0.10352528098343328
Quadratic,quadratic,training_data,1993,357.21,358.0908357889492,-0.8808357889492413,0.8808357889492413
Quadratic,quadratic,training_data,1994,358.96,359.7688929937989,-0.8088929937989064,0.8088929937989064
Quadratic,quadratic,training_data,1995,360.97,361.4706463335656,-0.5006463335655553,0.5006463335655553
Quadratic,quadratic,training_data,1996,362.74,363.19609580824925,-0.4560958082492448,0.4560958082492448
Quadratic,quadratic,training_data,1997,363.88,364.9452414178499,-1.0652414178499043,1.0652414178499043
Quadratic,quadratic,training_data,1998,366.84,366.7180831623676,0.1219168376323978,0.1219168376323978
